section,expected_count,url
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2021-72273
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2021-52198
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2021-58587
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2021-49375
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2020-37901
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2020-178227
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LGSIV/avgjorelse/lg-2021-21890
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2020-140680
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2020-84478
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2020-65984
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2020-24313
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2019-181677
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2020-51581
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LGSIV/avgjorelse/lg-2019-148023
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2019-145192
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LGSIV/avgjorelse/lg-2019-134677
